0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
322.wav| ðˈɛn ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə wˈɛnt tˈuː vˈɛnəɹəbəl məɦɑː moːəllɑːn̪ə ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
323.wav| ðˈə lˈɛsə mˈas ˈɒv stɹˈɛs. t̪ʃuːɭə d̪ukkʰəkkʰən̪d̪ʰə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɔːtiːn
324.wav| ðˈɛn vˈɛnəɹəbəl ɪs̪ɪd̪ət̪t̪ə—hˈavɪŋ sˈɛt hˈɪz lˈɒdʒɪŋ ˈɪn ˈɔːdə ˈand tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ɹˈəʊbz—lˈɛft mət̪ʃt̪ʃʰɪkɑːs̪əɳɖə.
325.wav| ðˈɛn, wˈɛn ðˈə blˈɛsɛd wˈɒn hˈad ˈiːtən ˈand hˈad ɹˈɪnst hˈɪz bˈəʊl ˈand hˈandz, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, tˈeɪkɪŋ ˈeɪ lˈəʊə sˈiːt, sˈat dˈaʊn tˈuː wˈɒn sˈaɪd.
326.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn fˈɛl sˈaɪlənt, ɐbˈaʃt, sˈɪtɪŋ wˈɪð hˈɪz ʃˈəʊldəz dɹˈuːpɪŋ, hˈɪz hˈɛd dˈaʊn, bɹˈuːdɪŋ, ˈat ˈeɪ lˈɒs fˈɔː wˈɜːdz.
327.wav| ðˈə ʃˈɔːtə dˈɪskɔːs ˈat əs̪s̪əpuɾə. t̪ʃuːɭə-əs̪s̪əpuɾə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɔːti
328.wav| [sˈɪmɪləli wˈɪð ðˈə sˈɛkənd, θˈɜːd, ˈand fˈɔːθ d̪ʒʰɑːn̪əs̪.]
330.wav| ˈɪf t̪ʃɪɾəʋɑːs̪ɪ's̪ mˈʌðə wˈɜː tˈuː bˈiː mˈɜːdəd ˈɔː ɪmpɹˈɪzənd ˈɔː fˈaɪnd ˈɔː sˈɛnʃəd, wˈʊd jˈuː fˈiːl sˈɒɹəʊ, lɐməntˈeɪʃən, pˈeɪn, dɪstɹˈɛs, ˈand dɪspˈeə?'
331.wav| ðˈə ʃˈɔːtə ˈɛlɪfənt fˈʊtpɹɪnt sˈɪmɪlˌɪ. t̪ʃuːɭə ɦət̪t̪ʰɪpəd̪oːpəmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. twˈɛnti sˈɛvən
332.wav| tˈuː d̪ʒiːʋəkə. d̪ʒiːʋəkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɪfti fˈaɪv
333.wav| ðˈə ʃˈɔːtə ɛɡzɔːtˈeɪʃən tˈuː mɑːluŋkjə. t̪ʃuːɭə mɑːluŋkjoːʋɑːd̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. sˈɪksti θɹˈiː
334.wav| ðˈɛn vˈɛnəɹəbəl məɦəkə—hˈavɪŋ sˈɛt hˈɪz lˈɒdʒɪŋ ˈɪn ˈɔːdə ˈand tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ɹˈəʊbz—lˈɛft mət̪ʃt̪ʃʰɪkɑːs̪əɳɖə.
335.wav| ðˈə ɡɹˈeɪtə ɐnˈaləsˌɪs ˈɒv ˈakʃən. məɦɑː kəmmə-ʋɪbʰəŋə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd θˈɜːti sˈɪks
336.wav| sˈəʊ s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn wˈɛnt ˈʌp tˈuː ðˈə mˈʌŋks ˈand sˈɛd, 'wˈeə, mˈastəz, ˈɪz mˈastə oːt̪əmə nˈaʊ?
337.wav| ðˈɛn pɹˈɪns d̪ʒəjəs̪eːn̪ə—wˈɔːkɪŋ bˈak ˈand fˈɔːθ ˈand ɐɹˈaʊnd tˈuː ˈɛksəsˌaɪz hˈɪz lˈɛɡz—wˈɛnt tˈuː ðˈə nˈɒvɪs ət̪ʃɪɾəʋət̪ə ˈand ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
338.wav| tˈuː pɹˈɪns əbʰəjə. əbʰəjə ɾɑːd̪ʒə-kumɑːɾə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɪfti ˈeɪt
339.wav| wˈɛðə ɑːd̪ʒiːʋəkəs̪ ˈɔː n̪ɪəɳʈʰəs̪,
340.wav| ðˈə ʃˈɔːtə sˈɛt ˈɒv kwˈɛstʃənz ˈand ˈansəz. t̪ʃuːɭə ʋeːd̪əllə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɔːti fˈɔː
341.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, sˈɜː,' tˈuː pɹˈɪns boːd̪ʰɪ, ðˈə jˈʌŋ bɹˈɑːmən s̪əɲd̪ʒɪkɑːput̪t̪ə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɐnˈaʊnst ðˈə tˈaɪm, (sˈeɪɪŋ,) 'ˈɪt ˈɪz tˈaɪm, mˈastə oːt̪əmə.
342.wav| ˈand s̪uppɪjə ðˈə wˈɒndəɹə wˈɒz tɹˈavəlɪŋ ˈɒn ðˈə hˈaɪweɪ bɪtwˈiːn ɾɑːd̪ʒəəɦə ˈand n̪ɑːlən̪d̪ɑː wˈɪð hˈɪz ɐpɹˈɛntɪs, bɾəɦməd̪ət̪t̪ə ðˈə jˈʌŋ bɹˈɑːmən.
343.wav| ðˈɛn ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, dɪlˈaɪtɪŋ ˈɪn ˈand ɐpɹˈuːvɪŋ ˈɒv ðˈə blˈɛsɛd wˈɒnz wˈɜːdz, ɡˈɒt ˈʌp fɹˈɒm ðˈeə sˈiːts ˈand, bˈaʊɪŋ dˈaʊn tˈuː hˈɪm ˈand sˌɜːkəmˈambjʊlˌeɪtɪŋ hˈɪm, lˈɛft.
344.wav| ud̪ɑːn̪ə. tˈuː: wˈɒn. mut̪ʃt̪ʃəlɪn̪d̪ə (mut̪ʃt̪ʃəlɪn̪d̪ə s̪ut̪t̪ə)
345.wav| nˈiə ðˈə ɹˈɪvə n̪eːɾəɲd̪ʒəɾɑː,
346.wav| ðˈɛn ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, ɡˈəʊɪŋ ˈɪn ðˈeə vˈiəkəlz ˈaz fˈɑː ˈaz ðˈeə wˈɒz ɡɹˈaʊnd fˈɔː vˈiəkəlz, ɡˈɒt dˈaʊn fɹˈɒm ðˈeə vˈiəkəlz ˈand ɐpɹˈəʊtʃt ðˈə blˈɛsɛd wˈɒn ˈɒn fˈʊt.
347.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð ðˈə blˈɛsɛd wˈɒn ˈand, ˈaftə ˈan ɛkstʃˈeɪndʒ ˈɒv fɹˈɛndli ɡɹˈiːtɪŋz ˈand kˈɜːtəsiz, sˈat tˈuː wˈɒn sˈaɪd.
348.wav| ðˈɛn əmbəpɑːliː ðˈə kˈɔːtɪzən, dɹˈaɪvɪŋ ˈaksəl tˈuː ˈaksəl, wˈiːl tˈuː wˈiːl, jˈəʊk tˈuː jˈəʊk, bɹˈɔːt ðˈəʊz jˈʌŋ lɪt̪ʃt̪ʃʰəʋɪs̪ tˈuː ˈeɪ hˈɒlt.
349.wav| ðˈə ʃˈɔːtə dˈɪskɔːs ˈɒn ˈɛmptinəs. t̪ʃuːɭə s̪uɲɲət̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd twˈɛnti wˈɒn
351.wav| ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə ʋəd̪ʒd̪ʒɪən̪s̪ nˈiə ɦət̪t̪ʰɪɑːmə.
352.wav| ðˈə blˈɛsɛd wˈɒn–wˈɪð hˈɪz dɪvˈaɪn ˈaɪ, pjˈʊəɹɪfˌaɪd ˈand səpˈasɪŋ ðˈə hjˈuːmən–sˈɔː vˈɛnəɹəbəl s̪əŋɑːməd̪ʒɪ's̪ fˈɔːmə wˈaɪf mɪsbɪhˈeɪvɪŋ ˈɪn ðˈat wˈeɪ.
353.wav| ˈand ˈat ðˈat tˈaɪm mɑːɾə, ðˈə ˈiːvəl wˈɒn, hˈad tˈeɪkən pəzˈɛʃən ˈɒv ðˈə bɹˈɑːmən hˈaʊshəʊldəz ˈɒv pəɲt̪ʃəs̪ɑːlɑː [wˈɪð ðˈə θˈɔːt,] 'dˈəʊnt lˈɛt oːt̪əmə ðˈə kəntˈəmplətˌɪv ɡˈɛt ˈɑːmz.'
354.wav| ðˈə ʋəd̪ʒd̪ʒɪən̪ mˈʌŋk. ʋəd̪ʒd̪ʒɪput̪t̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. θɹˈiː: ˈeɪti fˈaɪv
355.wav| ðˈə ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə, ɡˈɛtɪŋ ˈʌp fɹˈɒm hˈɪz sˈiːt, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
356.wav| ˈeɪ mˈiːl. bʰoːd̪ʒən̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈaɪv: θˈɜːti sˈɛvən
357.wav| nˈaʊ, ðˈə d̪ʒʰɑːn̪əs̪ ˈɑː sˈɛd bˈaɪ ðˈə blˈɛsɛd wˈɒn tˈuː bˈiː θˈɔːnd bˈaɪ nˈɔɪz.
358.wav| ðˈə ɛɡzɔːtˈeɪʃən tˈuː ɾɑːɦulə ˈat mˈaŋɡəʊ stˈəʊn. əmbələʈʈʰɪkɑː ɾɑːɦuloːʋɑːd̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. sˈɪksti wˈɒn
359.wav| ðˈə ʃˈɔːtə hˈɑːtwʊd sˈɪmɪlˌɪ dˈɪskɔːs. t̪ʃuːɭə s̪ɑːɾoːpəmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti
360.wav| t̪ʰeːɾəɑːt̪ʰɑː. wˈɒn: θˈɜːtiːn. ʋən̪əʋət̪ʃt̪ʃʰə
361.wav| sˈəʊ vˈɛnəɹəbəl məɦɑː moːəllɑːn̪ə fˈabɹɪkˌeɪtɪd ˈeɪ fˌabɹɪkˈeɪʃən ˈɒv sˈaɪkɪk pˈaʊə sˈʌtʃ ðˈat wˈɪð hˈɪz tˈəʊ hˈiː mˈeɪd ðˈə ʋeːd̪ʒəjən̪t̪ə pˈalɪs ʃˈɪvə ˈand kwˈɪvə ˈand kwˈeɪk.
362.wav| ðˈə pɹəfˈɛʃənəl wˈɒɹɪə (wˈɒn). joːd̪ʰɑːd̪ʒiːʋə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈaɪv: sˈɛvənti fˈaɪv
363.wav| ðˈə pɹəfˈɛʃənəl wˈɒɹɪə (tˈuː). joːd̪ʰɑːd̪ʒiːʋə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈaɪv: sˈɛvənti sˈɪks
364.wav| tˈuː joːd̪ʰɑːd̪ʒiːʋə (ðˈə pɹəfˈɛʃənəl wˈɒɹɪə). joːd̪ʰɑːd̪ʒiːʋə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. fˈɔːti tˈuː: θɹˈiː
365.wav| ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː hˈɜːd, 'ðˈə blˈɛsɛd wˈɒn, ðˈeɪ sˈeɪ, hˈaz tˈəʊtəli ʌnbˈaʊnd ˈɪn kus̪ɪn̪ɑːɾɑː.'
366.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə ʋəd̪ʒd̪ʒɪən̪s̪ ˈat bʰəɳɖə vˈɪlɪdʒ.
367.wav| bɪfˈɔː jˈuː hˈad sˈiːn ˈɔː hˈɜːd ˈɒv t̪ʃɪɾəʋɑːs̪ɪ's̪ mˈʌðə, dˈɪd jˈuː fˈiːl dɪzˈaɪə, pˈaʃən, ˈɔː lˈʌv fˈɔː hˈɜː?'
368.wav| tˈuː kət̪ʃt̪ʃɑːn̪ə oːt̪t̪ə. kət̪ʃt̪ʃɑːn̪əoːt̪t̪ə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. twˈɛlv: fˈɪftiːn
369.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, hˈavɪŋ ɹˈeɪzd ðˈeə hˈandz pˈɑːm-tˈuː-pˈɑːm ˈɪn fɹˈʌnt ˈɒv ðˈə tʃˈɛst, sˈat tˈuː wˈɒn sˈaɪd.
370.wav| tˈuː ðˈə mˈan fɹˈɒm əʈʈʰəkən̪əəɾə. əʈʈʰəkən̪ɑːəɾə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɪfti tˈuː
371.wav| wˈɪð ʋət̪ʃt̪ʃʰəoːt̪t̪ə. ʋət̪ʃt̪ʃʰəoːt̪t̪ə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. fˈɔːti fˈɔː: ˈeɪt
372.wav| bˈʌt ðˈeə wˈɪl kˈʌm ˈeɪ tˈaɪm ˈɪn ðˈə fjˈuːtʃə wˈɛn ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ɡɹˈəʊ dˈɛlɪkət, wˈɪð sˈɒft pˈɑːmz ˈɒv ðˈeə hˈandz ˈand sˈəʊlz ˈɒv ðˈeə fˈiːt.
373.wav| ˈɪts s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn hˈuː wˈɪl ɹɪfjˈuːt ðˈə stˈeɪtmənt ˈɒv oːt̪əmə ðˈə kəntˈəmplətˌɪv.'
374.wav| ˈɪts oːt̪əmə ðˈə kəntˈəmplətˌɪv hˈuː wˈɪl ɹɪfjˈuːt ðˈə stˈeɪtmənt ˈɒv s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn.'
375.wav| jˈɛt s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə, wˈɛn ˈaskt bˈaɪ ðˈə blˈɛsɛd wˈɒn ɐbˈaʊt ðˈə dɪvˈɛləpmənt ˈɒv ðˈə mˈaɪnd, wˈɒz ʌnˈeɪbəl tˈuː ɹɪspˈɒnd.
376.wav| nˈaʊ, sˈʌm ˈɒv ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ wˈɜː dˈɑːk blˈuː, wˈɪð dˈɑːk blˈuː kəmplˈɛkʃənz, dˈɑːk blˈuː klˈəʊðɪŋ, ˈand dˈɑːk blˈuː ˈɔːnəmənts.
377.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə, ðˈə blˈɛsɛd wˈɒn sˈɛd tˈuː hˈɪm, 's̪ən̪d̪ʰə, pɹˈaktɪs ðˈə ɐbsˈɔːpʃən [d̪ʒʰɑːn̪ə] ˈɒv ˈeɪ θˈʌɹəbɹˌɛd hˈɔːs, nˈɒt ðˈə ɐbsˈɔːpʃən ˈɒv ˈan ʌnbɹˈəʊkən kˈəʊlt.
378.wav| ðˈɛn ɑːɾɑːməd̪əɳɖə ðˈə bɹˈɑːmən wˈɛnt tˈuː vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
379.wav| ðˈə d̪eːʋəs̪ (ɐbˈaʊt d̪ʒʰɑːn̪ə). d̪eːʋə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. nˈaɪn: θˈɜːti nˈaɪn
380.wav| kəndjˈuːsɪv tˈuː ðˈə ɪmpətˈɜːbəbəl. ɑːn̪eːɲd̪ʒə-s̪əppɑːjə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd sˈɪks
381.wav| sˈəʊ s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə, dɪlˈaɪtɪŋ ˈɪn ˈand ɐpɹˈuːvɪŋ ˈɒv ðˈə blˈɛsɛd wˈɒnz wˈɜːdz, ɡˈɒt ˈʌp fɹˈɒm hˈɪz sˈiːt ˈand lˈɛft.
382.wav| ðˈɛn ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
383.wav| ðˈɛn ðˈə wˈɒndəɹə ʋət̪ʃt̪ʃʰəoːt̪t̪ə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
384.wav| ðˈə sˈɪks sɛkstˈɛts. t̪ʃʰət̪ʃʰəkkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd fˈɔːti ˈeɪt
385.wav| ðˈɛn s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
386.wav| [fˈaɪv] 'ˈand fˈɜːðə, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv ɪlˈeɪʃən ˈand dɪstɹˈɛs—ðˈə mˈʌŋk ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
387.wav| ðˈə blˈɛsɛd wˈɒn sˈɛd, 'ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ nˈaʊ lˈaɪv hˈiːdfəli, ˈɑːdənt ˈɪn ˈɛksəsˌaɪz, wˈɪð blˈɒks ˈɒv wˈʊd fˈɔː pˈɪləʊz.
388.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz tɹˈavəlɪŋ ˈɒn ðˈə hˈaɪweɪ bɪtwˈiːn ɾɑːd̪ʒəəɦə ˈand n̪ɑːlən̪d̪ɑː wˈɪð ˈeɪ lˈɑːdʒ s̪əŋʰə ˈɒv mˈʌŋks, ɐpɹˈɒksɪmətli fˈaɪv hˈʌndɹɪd mˈʌŋks.
389.wav| ɐmˈeɪzɪŋ ˈand ɐstˈaʊndɪŋ kwˈɒlɪtiz. ət̪ʃt̪ʃʰəɾɪj'əbbʰuːt̪əd̪ʰəmmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd twˈɛnti θɹˈiː
390.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈat d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi. ðˈeə hˈiː ɐdɹˈɛst ðˈə mˈʌŋks, 'mˈʌŋks!'
391.wav| ɐbˈaʊt t̪ʃun̪d̪ə (vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə's̪ pˈasɪŋ ɐwˈeɪ). t̪ʃun̪d̪ə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. fˈɔːti sˈɛvən: θˈɜːtiːn
392.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn wˈɒz sˈaɪlənt ˈeɪ sˈɛkənd tˈaɪm.
393.wav| ðˈɛn ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə wˈɛnt tˈuː hˈɪm ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
394.wav| ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː bˈɪlt ˈeɪ bˈɛɹɪəl mˈaʊnd ˈand hˈɛld ˈeɪ sˈɛɹɪməni fˈɔː ðˈə blˈɛsɛd wˈɒnz ɹˈɛlɪks ˈɪn ʋeːs̪ɑːliː.
395.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk—kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl (mˈɛntəl) kwˈɒlɪtiz—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
396.wav| ðˈɛn ðˈə blˈɛsɛd wˈɒn sˈɛd tˈuː s̪ət̪ʃt̪ʃəkə, 'ðˈə wˈɒnz jˈuː dɪskɹˈaɪbd dʒˈʌst nˈaʊ ˈaz dɪvˈɛləpt ˈɪn ðˈə dɪvˈɛləpmənt ˈɒv ðˈə bˈɒdi:
397.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl oːd̪ət̪t̪ə wˈɒz stˈeɪɪŋ nˈiə mət̪ʃt̪ʃʰɪkɑːs̪əɳɖə ˈɪn ðˈə wˈaɪld mˈaŋɡəʊ ɡɹˈəʊv.
398.wav| sˈʌm ˈɒv ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ wˈɜː jˈɛləʊ, wˈɪð jˈɛləʊ kəmplˈɛkʃənz, jˈɛləʊ klˈəʊðɪŋ, ˈand jˈɛləʊ ˈɔːnəmənts.
399.wav| nˈaʊ ˈɒn ðˈat əkˈeɪʒən, fˈaɪv hˈʌndɹɪd lɪt̪ʃt̪ʃʰəʋɪs̪ hˈad ɡˈaðəd ˈat ˈeɪ mˈiːtɪŋ hˈɔːl ˈɒn sˈʌm bˈɪznəs ˈɔː ˈʌðə.
400.wav| ˈeɪ sˈɛkənd tˈaɪm, ðˈə blˈɛsɛd wˈɒn sˈɛd tˈuː s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn:
401.wav| ˈaɪ hˈad ˈeɪti fˈɔː θˈaʊzənd tʃˈaɹiəts wˈɪð ɡˈəʊldən ˈɔːnəmənts, ɡˈəʊldən bˈanəz, kˈʌvəd wˈɪð nˈɛts ˈɒv ɡˈəʊldən θɹˈɛd, ðˈə tʃˈiːf ˈɒv wˈɪtʃ wˈɒz ðˈə tʃˈaɹiət ʋeːd̪ʒəjən̪t̪ə.
402.wav| tˈuː d̪ʒɑːɳus̪s̪oːɳɪn̪ (ˈɒn ˈɒfəɹɪŋz tˈuː ðˈə dˈɛd). d̪ʒɑːɳus̪s̪oːɳɪn̪ s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. tˈɛn: wˈɒn hˈʌndɹɪd sˈɪksti sˈɪks
403.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, dˈiə,' tˈuː d̪iːʰɑːʋu ðˈə lˈeɪ fˈɒləʊə, d̪ʒoːt̪ɪjə ðˈə hˈaʊshəʊldə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, sˈat tˈuː wˈɒn sˈaɪd.
404.wav| sˈʌm ˈɒv ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ wˈɜː wˈaɪt, wˈɪð wˈaɪt kəmplˈɛkʃənz, wˈaɪt klˈəʊðɪŋ, ˈand wˈaɪt ˈɔːnəmənts.
405.wav| ˈaz ðˈeɪ wˈɜː sˈɪtɪŋ ðˈeə, vˈɛnəɹəbəl ɑːn̪ən̪d̪ə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'lˈɔːd, t̪ʃun̪d̪ə ðˈə nˈɒvɪs, hˈiə, hˈaz sˈɛd ðˈat n̪ɪəɳʈʰə n̪ɑːʈəput̪t̪ə hˈaz dʒˈʌst dˈaɪd ˈɪn pɑːʋɑː.
406.wav| pəɲt̪ʃɑːlət̪ʃəɳɖə ðˈə d̪eːʋə's̪ sˈʌn. pəɲt̪ʃɑːlət̪ʃəɳɖə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. tˈuː: sˈɛvən
407.wav| ɹˈɛkwɪsˌɪt kəndˈɪʃənz. pət̪ʃt̪ʃəjə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. twˈɛlv: twˈɛnti
408.wav| sˈʌm ˈɒv ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ wˈɜː ɹˈɛd, wˈɪð ɹˈɛd kəmplˈɛkʃənz, ɹˈɛd klˈəʊðɪŋ, ˈand ɹˈɛd ˈɔːnəmənts.
409.wav| ðˈats ðˈə wˈeɪ ˈɪt ˈɪz, t̪ʃun̪d̪ə, wˈɪð ˈeɪ pˈʊəli pɹəklˈeɪmd d̪ʰəmmə-ʋɪn̪əjə, pˈʊəli ɛkspˈaʊndɪd, nˈɒt lˈiːdɪŋ ˈaʊt, nˈɒt kəndjˈuːsɪv tˈuː kˈɑːmɪŋ, ɛkspˈaʊndɪd bˈaɪ wˈɒn hˈuː ˈɪz nˈɒt ɹˈaɪtli sˈɛlf-ɐwˈeɪkənd.
